Variable;Group
TA_F_MDS;MICROMETEOROLOGICAL
TA_F_MDS_QC;MICROMETEOROLOGICAL
TA_F_MDS_NIGHT;MICROMETEOROLOGICAL
TA_F_MDS_NIGHT_SD;MICROMETEOROLOGICAL
TA_F_MDS_NIGHT_QC;MICROMETEOROLOGICAL
TA_F_MDS_DAY;MICROMETEOROLOGICAL
TA_F_MDS_DAY_SD;MICROMETEOROLOGICAL
TA_F_MDS_DAY_QC;MICROMETEOROLOGICAL
TA_ERA;MICROMETEOROLOGICAL
TA_ERA_NIGHT;MICROMETEOROLOGICAL
TA_ERA_NIGHT_SD;MICROMETEOROLOGICAL
TA_ERA_DAY;MICROMETEOROLOGICAL
TA_ERA_DAY_SD;MICROMETEOROLOGICAL
TA_F;MICROMETEOROLOGICAL
TA_F_QC;MICROMETEOROLOGICAL
TA_F_NIGHT;MICROMETEOROLOGICAL
TA_F_NIGHT_SD;MICROMETEOROLOGICAL
TA_F_NIGHT_QC;MICROMETEOROLOGICAL
TA_F_DAY;MICROMETEOROLOGICAL
TA_F_DAY_SD;MICROMETEOROLOGICAL
TA_F_DAY_QC;MICROMETEOROLOGICAL
SW_IN_POT;MICROMETEOROLOGICAL
SW_IN_F_MDS;MICROMETEOROLOGICAL
SW_IN_F_MDS_QC;MICROMETEOROLOGICAL
SW_IN_ERA;MICROMETEOROLOGICAL
SW_IN_F;MICROMETEOROLOGICAL
SW_IN_F_QC;MICROMETEOROLOGICAL
LW_IN_F_MDS;MICROMETEOROLOGICAL
LW_IN_F_MDS_QC;MICROMETEOROLOGICAL
LW_IN_ERA;MICROMETEOROLOGICAL
LW_IN_F;MICROMETEOROLOGICAL
LW_IN_F_QC;MICROMETEOROLOGICAL
LW_IN_JSB;MICROMETEOROLOGICAL
LW_IN_JSB_QC;MICROMETEOROLOGICAL
LW_IN_JSB_ERA;MICROMETEOROLOGICAL
LW_IN_JSB_F;MICROMETEOROLOGICAL
LW_IN_JSB_F_QC;MICROMETEOROLOGICAL
VPD_F_MDS;MICROMETEOROLOGICAL
VPD_F_MDS_QC;MICROMETEOROLOGICAL
VPD_ERA;MICROMETEOROLOGICAL
VPD_F;MICROMETEOROLOGICAL
VPD_F_QC;MICROMETEOROLOGICAL
PA;MICROMETEOROLOGICAL
PA_ERA;MICROMETEOROLOGICAL
PA_F;MICROMETEOROLOGICAL
PA_F_QC;MICROMETEOROLOGICAL
P;MICROMETEOROLOGICAL
P_ERA;MICROMETEOROLOGICAL
P_F;MICROMETEOROLOGICAL
P_F_QC;MICROMETEOROLOGICAL
WS;MICROMETEOROLOGICAL
WS_ERA;MICROMETEOROLOGICAL
WS_F;MICROMETEOROLOGICAL
WS_F_QC;MICROMETEOROLOGICAL
WD;MICROMETEOROLOGICAL
RH;MICROMETEOROLOGICAL
USTAR;MICROMETEOROLOGICAL
USTAR_QC;MICROMETEOROLOGICAL
NETRAD;MICROMETEOROLOGICAL
NETRAD_QC;MICROMETEOROLOGICAL
PPFD_IN;MICROMETEOROLOGICAL
PPFD_IN_QC;MICROMETEOROLOGICAL
PPFD_DIF;MICROMETEOROLOGICAL
PPFD_DIF_QC;MICROMETEOROLOGICAL
PPFD_OUT;MICROMETEOROLOGICAL
PPFD_OUT_QC;MICROMETEOROLOGICAL
SW_DIF;MICROMETEOROLOGICAL
SW_DIF_QC;MICROMETEOROLOGICAL
SW_OUT;MICROMETEOROLOGICAL
SW_OUT_QC;MICROMETEOROLOGICAL
LW_OUT;MICROMETEOROLOGICAL
LW_OUT_QC;MICROMETEOROLOGICAL
CO2_F_MDS;MICROMETEOROLOGICAL
CO2_F_MDS_QC;MICROMETEOROLOGICAL
TS_F_MDS_#;MICROMETEOROLOGICAL
TS_F_MDS_#_QC;MICROMETEOROLOGICAL
SWC_F_MDS_#;MICROMETEOROLOGICAL
